Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,4,40.0,-0.30000000000000004
Query 2,0,0.0,0.0
Query 3,2,20.0,-67.0
Query 4,3,30.0,0.0
Query 5,4,40.0,-1.2000000000000002
Query 6,3,30.0,-3.75
Query 7,1,10.0,1.0
Query 8,0,0.0,0.0
Query 9,3,30.0,-10.25
Query 10,3,30.0,0.25
Query 11,2,20.0,-3.0
Query 12,4,40.0,-0.7
Query 13,1,10.0,1.0
Query 14,3,30.0,-15.25
Query 15,5,50.0,-0.5
Query 16,1,10.0,0.0
Query 17,3,30.0,-9.5
Query 18,1,10.0,0.0
Query 19,4,40.0,-0.3999999999999999
Query 20,3,30.0,-14.25
Query 21,2,20.0,-15.0
Query 22,2,20.0,-36.0
Query 23,6,60.0,0.6285714285714286
Query 24,4,40.0,-2.6
Query 25,2,20.0,0.0
Query 26,2,20.0,-9.0
Query 27,4,40.0,-5.1
Query 28,1,10.0,0.0
Query 29,1,10.0,0.0
Query 30,5,50.0,-4.05
Query 31,3,30.0,-7.5
Query 32,1,10.0,1.0
Query 33,1,10.0,1.0
Query 34,4,40.0,-3.5999999999999996
Query 35,2,20.0,-4.0
Query 36,3,30.0,-11.75
Query 37,5,50.0,0.5
Query 38,5,50.0,0.85
Query 39,5,50.0,-1.4
Query 40,3,30.0,-6.25
Query 41,3,30.0,-2.25
Query 42,0,0.0,0.0
Query 43,1,10.0,0.0
Query 44,3,30.0,-14.25
Query 45,5,50.0,-2.6
Query 46,6,60.0,-0.1428571428571428
Query 47,4,40.0,-7.6
Query 48,0,0.0,0.0
Query 49,3,30.0,-3.25
Query 50,2,20.0,-64.0
Query 51,1,10.0,0.0
Query 52,2,20.0,-52.0
Query 53,2,20.0,-8.0
Query 54,2,20.0,-4.0
Query 55,4,40.0,-3.9000000000000004
Query 56,2,20.0,0.0
Query 57,4,40.0,-0.8
Query 58,6,60.0,-0.48571428571428577
Query 59,6,60.0,0.34285714285714286
Query 60,4,40.0,-4.8
Query 61,4,40.0,-4.0
Query 62,4,40.0,-1.7999999999999998
Query 63,3,30.0,-14.25
Query 64,0,0.0,0.0
Query 65,0,0.0,0.0
Query 66,1,10.0,0.0
Query 67,2,20.0,-4.0
Query 68,5,50.0,-0.050000000000000044
Query 69,0,0.0,0.0
Query 70,4,40.0,-1.4
Query 71,6,60.0,0.4
Query 72,1,10.0,0.0
Query 73,2,20.0,-48.0
Query 74,4,40.0,-5.9
Query 75,2,20.0,-4.0
Query 76,3,30.0,-10.25
Query 77,0,0.0,0.0
Query 78,2,20.0,-63.0
Query 79,4,40.0,-7.9
Query 80,2,20.0,-17.0
Query 81,0,0.0,0.0
Query 82,3,30.0,-1.75
Query 83,3,30.0,-4.25
Query 84,0,0.0,0.0
Query 85,1,10.0,0.0
Query 86,1,10.0,0.0
Query 87,1,10.0,0.0
Query 88,1,10.0,0.0
Query 89,4,40.0,-1.6
Query 90,3,30.0,-1.25
Query 91,1,10.0,1.0
Query 92,3,30.0,0.0
Query 93,3,30.0,-3.5
Query 94,4,40.0,-3.2
Query 95,1,10.0,0.0
Query 96,2,20.0,-3.0
Query 97,0,0.0,0.0
Query 98,5,50.0,-1.0
Query 99,3,30.0,0.5
Query 100,4,40.0,0.4
Averages,2.63,26.3,-5.926571428571428
